Sample name	Sample ID	Sample ontology ID	Facet ontology ID	Facet ontology term
Skeletal Muscle Cells, donor1	CNhs11083	FF:11281-116I3	CL:0000188	skeletal muscle cell
Skeletal muscle cells differentiated into Myotubes - multinucleated, donor1	CNhs11084	FF:11282-116I4	CL:0000188	skeletal muscle cell
Fibroblast - Dermal, donor1	CNhs12499	FF:11269-116G9	CL:0002620	skin fibroblast
Fibroblast - Dermal, donor2	CNhs11379	FF:11346-117G5	CL:0002620	skin fibroblast
Fibroblast - Dermal, donor3	CNhs12028	FF:11418-118F5	CL:0002620	skin fibroblast
Fibroblast - Dermal, donor4	CNhs12052	FF:11450-119A1	CL:0002620	skin fibroblast
Fibroblast - Dermal, donor5	CNhs12055	FF:11454-119A5	CL:0002620	skin fibroblast
Fibroblast - Dermal, donor6	CNhs12059	FF:11458-119A9	CL:0002620	skin fibroblast
Fibroblast - skin dystrophia myotonica, donor1	CNhs11353	FF:11556-120C8	CL:0002620	skin fibroblast
Fibroblast - skin dystrophia myotonica, donor2	CNhs11354	FF:11557-120C9	CL:0002620	skin fibroblast
Fibroblast - skin dystrophia myotonica, donor3	CNhs11913	FF:11560-120D3	CL:0002620	skin fibroblast
Fibroblast - skin normal, donor1	CNhs11351	FF:11553-120C5	CL:0002620	skin fibroblast
Fibroblast - skin normal, donor2	CNhs11914	FF:11561-120D4	CL:0002620	skin fibroblast
Fibroblast - skin spinal muscular atrophy, donor1	CNhs11074	FF:11555-120C7	CL:0002620	skin fibroblast
Fibroblast - skin spinal muscular atrophy, donor2	CNhs11911	FF:11558-120D1	CL:0002620	skin fibroblast
Fibroblast - skin spinal muscular atrophy, donor3	CNhs11912	FF:11559-120D2	CL:0002620	skin fibroblast
Fibroblast - skin walker warburg, donor1	CNhs11352	FF:11554-120C6	CL:0002620	skin fibroblast
Smooth Muscle Cells - Prostate, donor1	CNhs11920	FF:11257-116F6	CL:1000487	smooth muscle cell of prostate
Smooth Muscle Cells - Prostate, donor2	CNhs11976	FF:11335-117F3	CL:1000487	smooth muscle cell of prostate
Smooth Muscle Cells - Esophageal, donor1	CNhs11324	FF:11508-119G5	CL:0002599	smooth muscle cell of the esophagus
Smooth Muscle Cells - Tracheal, donor1	CNhs11329	FF:11513-119H1	CL:0002600	smooth muscle cell of trachea
Smooth Muscle Cells - Tracheal, donor3	CNhs12894	FF:11674-122G9	CL:0002600	smooth muscle cell of trachea
Meningeal Cells, donor1	CNhs11320	FF:11493-119E8	CL:0000499	stromal cell
Meningeal Cells, donor2	CNhs12080	FF:11573-120E7	CL:0000499	stromal cell
Meningeal Cells, donor3	CNhs12731	FF:11654-122E7	CL:0000499	stromal cell
Pancreatic stromal cells, donor1	CNhs10877	FF:11249-116E7	CL:0000499	stromal cell
Prostate Stromal Cells, donor1	CNhs10883	FF:11254-116F3	CL:0000499	stromal cell
Prostate Stromal Cells, donor2	CNhs11973	FF:11332-117E9	CL:0000499	stromal cell
Prostate Stromal Cells, donor3	CNhs12015	FF:11405-118E1	CL:0000499	stromal cell
Synoviocyte, donor2	CNhs11992	FF:11368-117I9	CL:0000499	stromal cell
Synoviocyte, donor3	CNhs12050	FF:11440-118H9	CL:0000499	stromal cell
CD4+ T Cells, donor1	CNhs10853	FF:11225-116C1	CL:0000084	T cell
CD4+ T Cells, donor2	CNhs11955	FF:11306-117C1	CL:0000084	T cell
CD4+ T Cells, donor3	CNhs11998	FF:11382-118B5	CL:0000084	T cell
CD4+CD25+CD45RA- memory regulatory T cells expanded, donor1	CNhs13204	FF:11794-124C3	CL:0000084	T cell
CD4+CD25+CD45RA- memory regulatory T cells expanded, donor2	CNhs13811	FF:11916-125G8	CL:0000084	T cell
CD4+CD25+CD45RA+ naive regulatory T cells, donor3	CNhs13513	FF:11907-125F8	CL:0000084	T cell
CD4+CD25-CD45RA- memory conventional T cells expanded, donor1	CNhs13215	FF:11792-124C1	CL:0000084	T cell
CD4+CD25+CD45RA- memory regulatory T cells expanded, donor3	CNhs13812	FF:11920-125H3	CL:0000084	T cell
CD4+CD25+CD45RA- memory regulatory T cells, donor1	CNhs13195	FF:11782-124A9	CL:0000084	T cell
CD4+CD25+CD45RA- memory regulatory T cells, donor2	CNhs13206	FF:11797-124C6	CL:0000084	T cell
CD4+CD25+CD45RA- memory regulatory T cells, donor3	CNhs13538	FF:11908-125F9	CL:0000084	T cell
CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor1	CNhs13203	FF:11793-124C2	CL:0000084	T cell
CD4+CD25-CD45RA- memory conventional T cells, donor3	CNhs13539	FF:11909-125G1	CL:0000084	T cell
CD4+CD25-CD45RA+ naive conventional T cells expanded, donor2	CNhs13813	FF:11913-125G5	CL:0000084	T cell
CD4+CD25-CD45RA+ naive conventional T cells expanded, donor3	CNhs13814	FF:11917-125G9	CL:0000084	T cell
CD4+CD25-CD45RA+ naive conventional T cells, donor1	CNhs13223	FF:11784-124B2	CL:0000084	T cell
CD4+CD25-CD45RA+ naive conventional T cells, donor2	CNhs13205	FF:11795-124C4	CL:0000084	T cell
CD4+CD25-CD45RA+ naive conventional T cells, donor3	CNhs13512	FF:11906-125F7	CL:0000084	T cell
CD8+ T Cells, donor1	CNhs10854	FF:11226-116C2	CL:0000084	T cell
CD4+CD25-CD45RA+ naive conventional T cells expanded, donor1	CNhs13202	FF:11791-124B9	CL:0000084	T cell
CD8+ T Cells, donor2	CNhs11956	FF:11307-117C2	CL:0000084	T cell
CD8+ T Cells, donor3	CNhs11999	FF:11383-118B6	CL:0000084	T cell
tenocyte, donor1	CNhs12639	FF:11763-123H8	CL:0000388	tendon cell
tenocyte, donor2	CNhs12640	FF:11765-123I1	CL:0000388	tendon cell
tenocyte, donor3	CNhs12641	FF:11768-123I4	CL:0000388	tendon cell
Trabecular Meshwork Cells, donor1	CNhs11340	FF:11532-120A2	CL:0002367	trabecular meshwork cell
Trabecular Meshwork Cells, donor3	CNhs12124	FF:11693-123A1	CL:0002367	trabecular meshwork cell
Urothelial cells, donor0	CNhs10843	FF:11216-116B1	CL:0000731	urothelial cell
Urothelial Cells, donor1	CNhs11334	FF:11520-119H8	CL:0000731	urothelial cell
Urothelial Cells, donor2	CNhs12091	FF:11600-120H7	CL:0000731	urothelial cell
Urothelial Cells, donor3	CNhs12122	FF:11681-122H7	CL:0000731	urothelial cell
Smooth Muscle Cells - Uterine, donor3	CNhs11927	FF:11466-119B8	CL:0002601	uterine smooth muscle cell
Smooth Muscle Cells - Aortic, donor0	CNhs10838	FF:11210-116A4	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Aortic, donor1	CNhs11085	FF:11283-116I5	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Aortic, donor2	CNhs11305	FF:11360-117I1	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Aortic, donor3	CNhs11309	FF:11432-118H1	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Brachiocephalic, donor1	CNhs11086	FF:11284-116I6	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Brachiocephalic, donor3	CNhs12043	FF:11433-118H2	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Brain Vascular, donor1	CNhs10863	FF:11234-116D1	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Brain Vascular, donor2	CNhs11900	FF:11315-117D1	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Brain Vascular, donor3	CNhs12004	FF:11391-118C5	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Carotid, donor1	CNhs11087	FF:11285-116I7	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Carotid, donor3	CNhs12044	FF:11434-118H3	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Coronary Artery, donor1	CNhs11088	FF:11286-116I8	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Coronary Artery, donor2	CNhs11987	FF:11363-117I4	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Coronary Artery, donor3	CNhs12045	FF:11435-118H4	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Internal Thoracic Artery, donor2	CNhs11988	FF:11364-117I5	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Internal Thoracic Artery, donor3	CNhs12046	FF:11436-118H5	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Pulmonary Artery, donor2	CNhs11989	FF:11365-117I6	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Subclavian Artery, donor1	CNhs11090	FF:11289-117A2	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Subclavian Artery, donor2	CNhs11990	FF:11366-117I7	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Subclavian Artery, donor3	CNhs12048	FF:11438-118H7	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Umbilical artery, donor0	CNhs10839	FF:11212-116A6	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Umbilical Artery, donor1	CNhs11091	FF:11290-117A3	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Umbilical Artery, donor2	CNhs11991	FF:11367-117I8	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Umbilical Artery, donor3	CNhs12049	FF:11439-118H8	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Umbilical Vein, donor1	CNhs12597	FF:11541-120B2	CL:0000359	vascular associated smooth muscle cell
Smooth Muscle Cells - Umbilical Vein, donor2	CNhs12569	FF:11621-122B1	CL:0000359	vascular associated smooth muscle cell
